Name,Origin,Type,Form,Alpha,Beta,HSI,Use,Notes
Cleopatra,United States,Aroma,Pellet,11,5,30,Boil,"Cleopatra hops are a relatively new addition to the American hop scene. Originally known as G1, Cleopatra boasts a delightful flavor profile, characterized by pleasant citrus notes complemented by a light pine and resinous touch. Intriguingly, it also exhibits some tropical nuances and hints of German spicy tendencies. While it doesn't possess the same oil content as the renowned Citra hop, its profile aligns closely with the Cascade variety. Homebrewers, particularly those who have had the pleasure of brewing with Cleopatra, often find it to be a standout. Flavor/Aroma: Citrus, Pine, Resinous, Tropical Fruits"
Cluster,U.S.,Bittering,Pellet,7,4.8,16,Boil,"Used for: General purpose bittering hop Aroma: Floral, slightly spicy. Sharp aroma and sharp flavor Substitutes: Eroica, Galena"
Cluster Fugget Blend,U.S.,Aroma,Pellet,8.1,4.1,30,Boil,"Cluster Fugget™ is a spontaneous hop blend that is just that...a cluster Fugget of Pacific Northwestern varieties, capturing the adventurous spirit of the home brewing community. Whether it is your first batch, or your one-hundredth, every home brewer has wound up brewing a beer with a cluster Fugget of aromas and flavors. This hop blend was created in celebration of these fortunate mistakes, reminding us that no brew should be taken too seriously. Aroma Profile: Earthy, Grassy, Spicy, Woody"
Columbia,United Kingdom,Bittering,Pellet,5.5,3,35,Boil,"Sibling of Williamette hops. Used for: All English Ales Aroma: Close to Fuggles Substitutes: Fuggles, Williamette"
Columbus (Tomahawk),U.S.,Bittering,Pellet,14,5,40,Boil,"Engineered Centennial Substitute - High alpha bittering hops. Used for: Bittering, flavor, aroma - IPA, American Pale Ale, Stout, Lager Aroma: Pungent, spicy. Strongly aromatic, but clean tasting bitterness Substitutes: Centennial"
Columbus/Tomahawk/Zeus (CTZ),U.S.,Bittering,Pellet,15.5,4.5,52,Boil,"Engineered Centennial Substitute - High alpha bittering hops. Used for: IPA, American Pale Ale, Stout, Lager, Barley Wine Aroma: Pungent, spicy. Strongly aromatic, but clean tasting bitterness Substitutes: Other CTZ, Galena, Chinook, Nugget, Target (U.K.), Northern Brewer (Germany) Storage: Poor/Very Poor (45-65% AA after 6 months at 20 C) 14-16.5% AA / 4-5% Beta"
Comet,U.S.,Bittering,Pellet,9.5,4,50,Boil,Very bitter hops - use sparingly with other hops Used for: Bittering only Substitutes: N/A
Contessa,U.S.,Aroma,Pellet,3.75,6.25,30,Boil,"A true to type noble hop cultivated in the USA ideal for german styled ales and lagers. Aroma: Herbal - green tea, floral, pear, fruity, citrusy, lemongrass, resinous Alpha Acid: 2.5 - 4.0% Beta Acid: 5.0 - 7.4% Total Oil: 0.8 - 1.9 ml/100g"
Cryo - Cascade,US - YCH Hops,Aroma,Pellet,12,6,10,Boil,"A classic Pacific NW Hops - floral, citrusy, prized in IPAs. Lupulin powder - typically used during the whirlpool/steep or dry hop phases at about half the weight of pellet hops to mazimize aroma/flavor. Concentrated to enhance hop oils. Store near freezing."
Cryo - Citra,US - YCH Hops,Aroma,Pellet,25,4,10,Boil,Lupulin powder - typically used during the whirlpool/steep or dry hop phases at about half the weight of pellet hops to mazimize aroma/flavor. Concentrated to enhance hop oils. Store near freezing.
Cryo - Eukanot,US - YCH Hops,Aroma,Pellet,25.5,5,10,Boil,"An aromatic hop with some tropical, citrus, fruity, and herbal notes. Lupulin powder - typically used during the whirlpool/steep or dry hop phases at about half the weight of pellet hops to mazimize aroma/flavor. Concentrated to enhance hop oils. Store near freezing."
Cryo - Loral,US - YCH Hops,Aroma,Pellet,19.5,5.1,10,Boil,"Loral is a floral, citrus, fruity, herbal hops used for its aromatic qualities. Versatile. Lupulin powder - typically used during the whirlpool/steep or dry hop phases at about half the weight of pellet hops to mazimize aroma/flavor. Concentrated to enhance hop oils. Store near freezing."
Cryo - Mosaic,US - YCH Hops,Aroma,Pellet,22,3,10,Boil,"Mosaic is an earthy, floral, fruity hops widely used for finishing IPAs. Lupulin powder - typically used during the whirlpool/steep or dry hop phases at about half the weight of pellet hops to mazimize aroma/flavor. Concentrated to enhance hop oils. Store near freezing."
Cryo - Palisade,US - YCH Hops,Aroma,Pellet,12,6.5,10,Boil,"A earthy, floral, fruity hop used for aroma including apricot, grass and floral components. Lupulin powder - typically used during the whirlpool/steep or dry hop phases at about half the weight of pellet hops to mazimize aroma/flavor. Concentrated to enhance hop oils. Store near freezing."
Cryo - Simcoe,US - YCH Hops,Aroma,Pellet,23,4,10,Boil,"An earthly, citrus, pine hop widely used in IPAs and many American styles. Lupulin powder - typically used during the whirlpool/steep or dry hop phases at about half the weight of pellet hops to mazimize aroma/flavor. Concentrated to enhance hop oils. Store near freezing."
Crystal,U.S.,Aroma,Pellet,3.5,5.2,50,Boil,"Used for: Aroma and finishing hops for Lagers Aroma: Clean, mild, pleasant and slightly spicy Substitutes: Hallertauer, Mount Liberty"
Dana,Slovenia,Both,Pellet,13,5,15,Boil,"Also known as ""Extra Styrian Dana"" this is a Slovenian hop breed crossing a wild Slovenian male plant with German Magnum. It has smooth bittering properties and a slightly citrus and floral aroma profile."
Defender,UK,Aroma,Pellet,4.5,1.9,15,Boil,"Bred from a New Mexico wild female and Eastwell Golding male at Wye College, England. Low alpha and yield has limited acreage. A pleasant European style aroma."
Delta,U.S.,Bittering,Pellet,6,6,85,Boil,"A backcross between Fuggles and Cascade, recently released (2012) by the Hopsteiner breeding program. Woody and herbal with a citrus kick. Not as assertive as dual purpose hops but adds distinctive notes in a blend. Used for: IPA, Pale Ale Aroma: Mild and pleasant aroma; slightly spicy with a hint of citrus. Substitutions: Fuggle, Willamette Storage: Excellent (80-90% AA after 6 months at 20 C) 5-7% AA / 5-7% Beta"
Denali (Exp 06277),US,Bittering,Pellet,14,4.5,15,Boil,"Formerly hopsteiner experimental #06227. Denali is a high alpha aroma hop with heritage to Zeus and Nugget as well as a USDA male. It has a big aroma including pineapple, citrus and pine notes. High essential oil content makes it suitable for dry hopping or whirlpool additions such as IPAs."
Dr. Rudi,New Zealand,Both,Pellet,11,8,25,Boil,A dual purpose / bittering hop with classic resinous pine and lifted citrus characters. Used for: Ales Substitutions: N/A
East Kent Goldings (EKG),United Kingdom,Both,Pellet,5,3.5,35,Boil,"Also known as Canterbury Hops by some, although others will dispute this fact. East Kent Goldings gracefully defines the English Pale Ales and Ales produced by the region, it is quintessentially English. Used for: English Ale, Porter, Scottish and Irish Ale, Stout, Strong Ale, ESB, Saison, Barleywine. Aroma: Floral, aromatic, earthy, slightly sweet spicy flavor Substitutes: First Gold, Fuggles, other Golding varieties, Progress, Target, and Whitbread Golding Storage: Good/Fair 965-80% AA after 6 months at 20 C) 4-7% AA / 1.9-2.8% Beta"
Eastern Green,Japan,Aroma,Pellet,5.2,2,30,Boil,"Eastern Green is an aroma variety developed and tested in the 1980’s by the Kirin Brewery Co. Ltd. Hop Research Center in Iwate, Japan. It was conceived via an open pollination cross with named parent varietal, Toyomidori. In addition to its high vigor and yield, it is said to have desirable continental-style aroma traits."
Eclipse,Australia,Both,Pellet,17.2,7.5,30,Boil,"Eclipse® hops are the newest variety to be released by our friends at Hop Products Australia. Eclipse®, previously known as HPA-016, was created in 2004 and is the daughter of a high alpha Australian and a North American variety. Eclipse® is bright and juicy with mandarin and citrus, making it perfect for IPAs and fruit-forward hazies. Its fresh pine elements also give it a classic West Coast IPA vibe that is killer in trendy Cold IPAs. ANCESTRY Eclipse® was created by the HPA breeding program in 2004 and commercialised in 2020. Its ancestry is the result of cross pollination of high alpha Australian and North American hops. Alpha/Beta Ratio 1.8 - 2.7 Cohumulone 33.0 - 37.0% Total Oils 1.7 - 1.9 ml/100g Oil Concentration 108.0 - 119.0 microlitres of oil/g alpha Myrcene 42% of total oil Linalool 0.6% of total oil Caryophyllene 11.1% of total oil Farnesene 0.2% of total oil Humulene 1.4% of total oil Selinene 17.9% of total oil"
Edelweiss,U.S.,Aroma,Pellet,6,3,30,Boil,"The Edelweiss hop blend is a distinctive combination of six US-grown hops, specifically crafted to complement a range of beers including pilsners, dorts, lagers, and hefs. This blend is a harmonious fusion of traditional lager hops, with 67% of its flavors reminiscent of German hops and 33% echoing the essence of Czech hops. As a result, when used in brewing, it offers a unique hop flavor that positions the beer somewhere between a German and Bohemian Pilsner. The flavor profile of the Edelweiss hop blend is primarily floral, complemented by a pleasant spiciness that seamlessly melds the flavors together. Flavor/Aroma: Aromatic, Floiral, Fresh, Herbal,Spicy"
Ekuanot,U.S.,Aroma,Pellet,15,4.75,30,Boil,"Developed by Hop Breeding Company and released in 2014, Ekuanot® HBC 366 features pronounced aroma characteristics and extremely high oil content. This variety bursts out of the spring soil in vibrant yellow and gradually matures to a deep green color by Fall harvest. Aroma Profile: Bubblegum, Citrus, Stone Fruit, Tropical, Woody"
El Dorado,U.S.,Both,Pellet,15,7.5,20,Boil,"Bred by CLS Farms, LLC, available on a larger scale for the first time during 2012 harvest. Fits the dual purpose/special mold. Used for: Experimental Ales Aroma: Tropical fruit flavors, intense aromas of stone fruits (pear, cherries), candy (Lifesavers), watermelon. Substitutions: None at this time Storage: Good 14-16% AA / 7-8% Beta"
El Dorado Hop Extract,US,Both,CO2Extract,50.29,2,100,Boil,"CO2 Hop Extract -sold in both 0.5kg (150 gma), 1 kg (300 gma), 2 kg, 3kg and 4kg cans. Extracted from El Dorado hops and only for use in the boil. Measure out liquid in ml for use. Check alpha percentage listed here against the can as alpha may vary by season and manufacturer."
El Dorado Hop Hash,US,Aroma,Pellet,25.7,10.7,15,Boil,"Technically this is lupulin powder similar to Cryo-hops. It is intended for use primarily in the whirlpool, hot steep or for dry hopping. El Dorado brings forward some tropical fruit flavors of pear, watermelon and stone fruit."
Elani,U.S.,Aroma,Pellet,10.5,6,30,Boil,"Elani™, previously known as YQH-1320, is a new hop variety from our friends at Yakima Quality Hops and is available for the first time in 2022. Elani is a found variety that Tim at YQH describes as ""Clean and bright. With tropical, citrus, and stone fruit."" Sensory analysis of the 2022 crop picks out aromas of pineapple, guava, lime, white peach, and orange zest. Elani Aroma: Pineapple, guava, lime, white peach, orange zest Elani Typical Analytical Range Alpha: 9-11% Total Oil: 1.3 - 2.0 mL/100g"
Elixir,France,Aroma,Pellet,6,5,30,Boil,"Elixir is a new and exciting hop variety developed in the legendary growing region of Alsace, France. Elixir is a robust and complex hop that offers unique aromas of cognac, leather, and tobacco that are backed by sweet citrus fruits as well rose and lovage. Elixir is well suited for darker styles but can also be incorporated into fruit-forward styles or even spicy saisons. Alpha acid 5-7% Cohumulone 25-30% Beta acids 4.5-5.5% Coluplone 35-40% Total Oil 1.8-2.2 ml/100g Myrcene 70-75% Monoterpene 800-900 mg/100g Sesquiterpene 400-500 mg/100g Linalool 6 mg/100g Farnesene 150-200 mg/100g Geraniol 5-10 mg/100g"
Ella,Australia,Aroma,Pellet,14.8,6.5,15,Boil,"Ella was formerly known as Stella. Its an Australian variety that is a half sister to Galaxy and related to Spalt. It was released in 2007 for trials and became quite popular. Ella has a very high aromatic oil content that changes depending on how its used. In small quantities it provides a spicy, floral quality like star anise. Larger quantities or dry hopping provide more of a tropical or grapefruit flavor."
Ella (aka Stella),Australia,Both,Pellet,15,5.9,0,Boil,"New name after a 2013 harvest in Australia (due to name infringement). Despite high alpha, sold as an aroma variety. When used in dry hopping or higher quantities, grapefruit and tropical characters come to the fore. Character obtained at lower rates can be best appreciated in lagers or pilsners, while the grapefruit and tropical flavors can be used to offset robust malt and yeast characters Used for: Ales, Lagers, Pilsners Aroma: tropical, subtle hints of star anise, sweet and floral, with lemon, grapefruit, apricot, and melon. Substitutions: Galaxy Storage: Unknown 13.3-16.3% AA / 4-7.8% Beta"
Emerald Spire,U.S.,Aroma,Pellet,5.25,4.25,30,Boil,"Emerald Spire™ Pleasant, Fruit forward and Delicious. Spire has excellent white grape notes and finishes with a champagne like dryness making it incredibly unique. It's quickly becoming an essential tool for crafting an entire new type of flavor profile in craft beer. Licensed by Great Lakes Hops. Aroma: Peach, Juicy Fruit, White Grape, Watermelon, Bubble Gum, Melon Rind, Champagne"
Endeavour,UK,Both,Pellet,9.5,4.3,15,Boil,"Bred at Wye Hops in the UK as a cross between Cascade and a hedgerow hop. A wonderful, citrusy hedgerow hop with complex blackcurrant, loganberry and spicy notes as well as grapefruit and lime flavor. Gentler than cascade. Substitutes: Cascade"
Epic,United Kingdom,Aroma,Pellet,4,1.9,30,Boil,"Although brewing experience of this new hop variety is limited, 'Epic' has been reported to give a very pleasant deep, fruity, berry-like aroma with hints of lemongrass. It is slightly herbal without citrus or floral notes. It makes an excellent main copper hop or a late aroma hop. This grower selection was grown as an ornamental garden plant until 2004 when it was propagated to give a small trial area. A consistently good yield has encouraged the planting of a larger commercial area during the winter of 2014-15. Epic was found in 1987 as a chance seedling in a hedge adjacent to a hop field at Bourne Farm, Sandhurst, Kent by Chris Nicholas. The field, although growing 'Wye Target' at the time, had previously grown 'Alliance' and the oil composition of 'Epic' strongly suggests that it is a seedling of 'Alliance'. It is a vigorous tall variety with a heavy yield. Character: Fruity, slightly herbal."
Equinox (HBC 366),U.S.,Aroma,Pellet,15,4.8,25,Boil,"A pronounced aroma profile with citrus, tropical fruit, floral and herbal characteristics. Specific descriptors include lemon, lime, papaya, apple, and green pepper. Used for: Experimental Ale Aroma: Exceptional aroma profile includes notes of citrus, tropical and pine Substitutions: Unknown Storage: Unknown 14.4-15.6% AA / 4.6-5.1% Beta"
Ernest,United Kingdom,Aroma,Pellet,5.8,4.75,30,Boil,"Ernest is named after its breeder, Prof Ernest Salmon. It was selected at Wye College, Kent as a seedling code OZ97a in 1923 from seed collected in 1921 as an open-pollination of Neomex AA7. It was in production on farm trials in 1957 and 1958. It was used in brewing trials conducted by the Institute of brewing in 1959 (reported in 1960) but it was considered to be a poor substitute for the control variety, Fuggle, due to its ""strong, coarse, American aroma"". Aroma Profile: Grassy, Herbal, Spicy, Stone Fruit"
Eroica,U.S.,Bittering,Pellet,13,4.8,35,Boil,"Used for: General purpose bittering for ales, porters, stouts Aroma: Clean bittering hop, very bitter Substitutes: Galena, Northern Brewer, Chinook Examples: Blackhook Porter, Ballard Bitter"
Eukanot,US,Aroma,Pellet,14,4.5,15,Boil,"Released in 2014 - has strong aroma character and a very high aromatic oil content. Aroma profile includes citrus, tropical fruit, fruity and herbal components. Flavors include melon, berry, orange peel, lime, papaya, pine and fresh pepper components."
Eureka!,U.S.,Both,Pellet,18,2,15,Boil,"Notes: Offspring of Apollo and Merkur. Similar to Simcoe. Dual purpose. Good for dry hoping. Aroma: Herbal, pine, mint, grapefruit rind, tangerine"
Evergreen,U.S.,Aroma,Pellet,7.2,4,30,Boil,"Evergreen Hop Blend is a unique hop blend developed to bring out the best citrus, floral, and fruit hop characteristics in American-style craft lagers and ales. After multiple brewing trials at the Rahr Technical Center, the blend was added to the BSG Hop Solutions portfolio in 2021. Evergreen showcases fresh peaches and apricots and bright citrus notes like lemon candy, orange zest, and tangerine. Watermelon candy, fresh hay, and pine needles add a classic American craft beer touch to its aroma. Some secondary and tertiary notes include menthol, dank, geranium, herbs (basil, dill, thyme), cannabis, and green tea. Evergreen is perfect for aroma, whirlpool, and dry-hop additions during or after fermentation. It’s ideal for hoppy lager styles like IPL but also works well in West Coast IPA, pale ale, American black ale, and barley wine. Flavor/Aroma: Peach, Apricot, Lemon, Green Tea, Tangerine"
Excelsior,U.S.,Aroma,Pellet,5,4,30,Boil,"Excelsior hops are a testament to the rich agricultural diversity of New York, representing the first 100% New York-grown and processed hop blend. This innovative product is the result of a collaboration between the New York Hop Guild and the experts at Hoptechnic, who have meticulously selected and blended the finest hop varieties from the region. The flavor profile of Excelsior hops is complex and tantalizing, marked by tropical mango and lychee notes, complemented by a bouquet of floral aromas and a medley of sweet fruits. This blend is particularly suited for crafting beers where a pronounced hop character is desired, adding a layer of depth and aroma that can elevate pale ales, IPAs, and other hop-forward styles. The unique combination of flavors works harmoniously to provide a sensory experience that is both exotic and familiar, making it a versatile choice for experimental and traditional brewing alike. Flavor/Aroma: Floral, Mango, Lychee, Tropical Fruits, Sweet11/3"
Falconer's Flight,U.S.,Both,Pellet,11,2,15,Boil,"Proprietary pellet blend comprised of many of the Northwest’s most unique hop varieties and is perfect for any Northwest-style IPA. Used for: IPA, Pale Ale, Experimental Ale Aroma: distinct tropical, citrus, floral, lemon and grapefruit tones. Substitutions: Unknown (Citra, Simcoe, Sorachi Ace blend?) Storage: Unknown 10-12% AA / 4.4% Beta"
Falconer's Flight 7C's Blend,U.S.,Both,Pellet,9.5,4.4,0,Boil,"A proprietary hop blend from HopUnion that includes 7 of the ""C"" hops along with a few experimental varieties. Used for: Pale Ale, IPA, Experimental Ales Aroma: Citrus/grapefruit character alongside fruity, spicy, and earthy notes Substitutions: Unknown Storage: Unknown 9-10% AA / 4.5% Beta"
Fantasia,Germany,Bittering,Pellet,4.3,2,15,Boil,A Barth-Haas Group product said to have a flavor/profile of cream and caramel.
Feux Coeur Francais,Australia,Bittering,Pellet,14,6,25,Boil,"Rare, high alpha hops from Australia with genetic roots in the Burgundy region of France. It was adopted to the Victoria region of Australia and introduced in 2010."
Feux-Coeur,Australia,Bittering,Pellet,5,2,15,Boil,Australian hop with genetic roots back to Burgundy France. Fairly rare breed from Victoria.
First Gold,United Kingdom,Both,Pellet,7.5,3.5,12,Boil,"Dwarf hop with English Golding character Used for: Ales, ESB Aroma: Similar to other Golding varieties, spicy Substitutes: East Kent Goldings, Crystal"
Flyer,UK,Both,Pellet,12,5,15,Boil,"A cross between a high alpha female breeding line and low trellis male. Released for trials in 2009. A citrus hop with aromas of stoned fruit, liquorice, tracle-toffee and caramel with slight burnt notes. Spicy, resinous, citrus and liquorice notes."
Fortnight,U.S.,Both,Pellet,13.9,5.4,30,Boil,"Fortnight™ is a hop blend of five United States hops created by Bintani Australia. Contains a unique blend of grapefruit, pineapple, marmalade, peach, resin and pine. Bintani accomplished this by pairing with Yakima Chief hops that included rigorous trials to get the blend to their liking. Flavor/Aroma: Grapefruit, Pineapple, Marmalade, Peach, Resin, Pine"
Fuggle,United Kingdom,Aroma,Pellet,4.5,2.5,60,Boil,"Traditional English-type aroma hop. Used for: English Ales, ESB, Bitter, Lagers Aroma: Mild, soft, fruity, spicy, woody Substitute: Fuggle (U.S.), Willamette, Styrian Golding Storage: Good/Very Good (70-80% AA after 6 months at 20 C) 3-5.6% AA 2-3% Beta"
"Fuggle, New Zealand",New Zealand,Aroma,Pellet,6.1,3,30,Boil,"Fuggle is the classic English aroma hop and is often used in conjunction with Goldings. It can be used as a main boiling hop to impart a mild, soft grassy/woody floral aroma and is also used for dry hopping. Used for: English Ales, Porter, Stout, English IPA Substitutions: UK Fuggle, NZ Willamette, NZ Styrian Golding"
"Fuggle, Organic",United Kingdom,Aroma,Pellet,4,2,15,Boil,"As Fuggle (U.K.), only organic variety Typical alpha: 3-5%. Organically grown Fuggle hops from the UK. Wonderful earthy, pipe-tobacco, floral character. Classic hop for any English ale."
"Fuggle, U.S.",U.S.,Aroma,Pellet,4.75,1.7,37,Boil,"This classic English aroma variety has long been grown in both Oregon and Washington. It has a typical English aroma and contributes a balanced bitterness. Fuggle is very suitable for English and American-style Ales. Mild wood and fruit characteristics. Used for: English Ales Substitutions: Willamette, UK Fuggle, Styrian Golding"
Fuggles,United Kingdom,Aroma,Pellet,4.5,2,35,Boil,"Used for: General purpose bittering/aroma for English Ales, Dark Lagers Aroma: Mild, soft, grassy, floral aroma Substitute: East Kent Goldings, Williamette Examples: Samuel Smith's Pale Ale, Old Peculiar, Thomas Hardy's Ale"
Fusion,United Kingdom,Aroma,Pellet,6.4,3.8,30,Boil,"Fusion is a aroma hop from Great Britain with moderate alpha acid around 6%. When used in a recipe, it typically accounts for 50% of the hops. British hop which is blend of developmental hops giving fruity/spicy/floral flavours. Flavor/Aroma: Spicy, Tropical Fruits"
GP75,United Kingdom,Both,Pellet,7,5.1,30,Boil,"The hop is out of the British Hop collection and was originally from a cross in 1978 between 19/73/3 (a grand-daughter of OR55) and male 321 (a seedling of Neomex). It is wilt tolerant. Flavor/Aroma: Citrus, Grapefuit, Lime, Pine, Pungent, Sage, Tropical Fruits"
Galaxy,Australia,Bittering,Pellet,14,5.9,35,Boil,"A high alpha, dual purpose seedless hops with a unique hop aroma. It can be used either for bittering or as a late hop addition to provide a flavor of citrus and passionfruit to the finished beer. Aroma: Intense, pleasant, unique."
Galena,U.S.,Bittering,Pellet,12.5,8,21,Boil,"Used for: General bittering hops for all beers Aroma: Strong, clean, balanced bittering Substitutes: Eroica, Northern Brewer, Cluster, Chinook Examples: Catamount Porter"
Gargoyle,US,Aroma,Pellet,7.5,2,15,Boil,Gargoyle along with Ivanhoe are the first generation of California Cluster hops to be grown commercially in over 50 years. Revived by Hops-Mesiter near Clearlake CA. Similar to Ivanhoe but has a more citrus-mango bouquet. Substitute: Ivanhoe
Gemini,U.S.,Aroma,Pellet,8.25,3.75,30,Boil,"Gemini™ is quickly becoming known as this years ultimate utility power house. This Hop is no ""one trick pony"", offering endless opportunities to enhance and expand the flavor profile of a brew. Licensed by Great Lakes Hops. Aroma: Strawberry, Eucalyptus, Rosemary, Fruit Cocktail​, Honey Dew"
German Tradition,Germany,Bittering,Pellet,6,4.5,10,Boil,"Close descendant of Hallertauer Mittelfrueh bred for high yield. Used for: Lager, Pilsner, Bock, some Weizens Aroma: Medium intense floral and herbal (grassy) tones Substitutes: Hallertau Mittelfruh, Liberty, Hersbrucker Storage: Unknown 5-7% AA / 4-5% Beta"
Gesho Kitel,Ethiopia,Aroma,Pellet,5,2,15,Boil,"Brundo's aroma hops Gesho stems, gathered from the highlands of Ethiopia, are sun-dried and packed fresh. These aromatic sticks and stem flavor centuries old traditional brewing recipes for beer and Ethiopian honey wine. Acid content unknown."
Glacier,U.S.,Aroma,Pellet,5.6,7.6,28.5,Boil,"Genetic mix of at least 8 hops including Elsasser, Brewers Gold, N Brewer, Bullion, Early Green, and others...released in 2000. Used for: Aroma Aroma: Excellent, hoppy Substitutes: N/A"
Godiva,United Kingdom,Aroma,Pellet,7.5,2.4,30,Boil,"Godiva™ is from the Charles Faram Hop Development Programme. Good for bittering and excels when used in late hopping. A daughter of Jester®, selected for its aroma, disease resistance and yield Character: Spicy, Gooseberry, Tangerine"
Gold,Slovenia,Aroma,Pellet,5,4.5,15,Boil,"Daughter of Styrian Savinsjki Golding released in 2009. Distinct aroma grown only in Slovenia. Aroma of honey, oregano, basil, nettle and hay."
Golden Star,Japan,Aroma,Pellet,5.5,4.2,34,Boil,"Golden Star has heritage of Saaz and White Vine-OP. Selected by Dr. Y. Mori of Sapporo Brewery, Japan from a mutant of Shinshuwase, making it nearly identical. Commercially only grown in Japan as an aroma hop that is difficult to pick as the cones shatters easily."
"Golding, New Zealand",New Zealand,Aroma,Pellet,4.2,4.5,25,Boil,"Mild, delicate sweet floral character Used for: English Ales Substitutions: NZ Willamette, NZ Styrian Golding, NZ Fuggle, UK East Kent Golding"
"Golding, U.S.",U.S.,Aroma,Pellet,5,2.5,34,Boil,"Mild and delicate with sweet floral characteristics. Bred in the US from east Kent Golding. Golding hops consist of a group of traditional English aroma varieties which have been cultivated since 1790. Several selections now exist including Cobbs, Early Bird, East Well, Bramling, Canterbury and Mathon, some of which are now being grown in the U. S. All Goldings are recognized as having a most typical English aroma. Used for: Bitter Substitutions: Fuggle, Willamette, UK East Kent Golding, Styrian Golding"
"Goldings, B.C.",Canada,Aroma,Pellet,5,3.2,40,Boil,"Used for: Bittering and finishing British ales, bitters, porters and stouts. Aroma: Spicy, floral, rounded mild aroma. Substitutes: East Kent Goldings, Fuggles"
"Goldings, East Kent",United Kingdom,Aroma,Pellet,5,3.5,35,Boil,"Used for: General purpose hops for bittering/finishing all British Ales Aroma: Floral, aromatic, earthy, slightly sweet spicy flavor Substitutes: Fuggles, BC Goldings Examples: Bass Pale Ale, Fullers ESB, Samual Smith's Pale Ale"
Green Bullet,New Zealand,Bittering,Pellet,13.5,7,20,Boil,"Bittering hops from New Zealand developed in 1972 Used for: Australian-style ales and lagers. Aroma: Floral, raisin aroma. Substitutes: Styrian Goldings"
Greensburg,U.S.,Aroma,Pellet,5.2,7.2,25,Boil,American hop variety from southern Idaho. Fruity flavor with a touch of wood flavor. Popular with microbreweries.
Grüngeist (Callista),Germany,Aroma,Pellet,2.9,9,30,Boil,"This German aroma variety was developed in the Hop Research Center Hüll (Hopfenforschungszentrum Hüll). This hop research institution focuses on breeding, harvesting, and chemistry. It is located in the largest continuous hop-planting region in the world, Hallertau Germany in the state of Bavaria. The Hop Research Society was founded in 1926 in response to an endemic of downy mildew in Germany. The Hüll Institute is also responsible for recently giving us great varieties like Hallertau Blanc, Mandarina Bavaria, Hull Melon. Grungeist is an aroma hop that is typically used in only late boil additions, including dry hopping. The unique combination of peach and passion fruit are equally balanced with a hint of lemon zest and floral essence. Grüngeist adds aromas and flavors of kiwi, overripe peach and dried lavender"
HBC 291 (Experimental),U.S.,Bittering,Pellet,12.1,5.6,15,Boil,"As this is an experimental variety, there is no guarantee this hop will come to market en masse. Data obtained from HopUnion Uses: Unknown Aroma: Typically described as peppery, floral and fruity Substitutions: Unknown Storage: Unknown 11.2-13.1% AA / 5.1-6.1% Beta"
HBC 342 (Experimental),U.S.,Bittering,Pellet,5,2,15,Boil,"As this is an experimental variety, there is no guarantee this hop will come to market en masse. Data obtained from HopUnion. ""High alpha variety with a pleasant aroma"" Uses: Pale Ale Aroma: Mild citrus, tropical fruit and melon notes Substitutions: Unknown (Belma or Citra?) Storage: Unknown ??% AA / ??% Beta"
HBC 366 (Experimental),U.S.,Aroma,Pellet,15,4.8,15,Boil,"As this is an experimental variety, there is no guarantee this hop will come to market en masse. Data obtained from HopUnion. ""The fantastic aroma combined with the high high oils make this hop very unique"" Uses: Experimental Ale Aroma: Exceptional aroma profile includes notes of citrus, tropical and pine Substitutions: Unknown Storage: Unknown 14.4-15.6% AA / 4.6-5.1% Beta"
HBC 438,US,Both,Pellet,13.1,5.5,15,Boil,"An experimental hop that is a cross between a neomexicanus and YCR 123. It is sister to HBC 472 and has similar character. Aromas include mango, coconut, grapefruit, lemon grass and wood. Peachy stone fruit, pineapple., lime and herbal notes of cedar and coconut. A disctinct hop. Subsitute: HBC 472"
Hallertau,U.S.,Aroma,Pellet,4.5,4.5,50,Boil,"This traditional German land-race variety has limited acreage in the U.S. Used for: lager, pilsner, bock, wheat, Munich Helles, or Belgian style. Aroma: considered mild, pleasant, and slightly flowery & spicy. Substitutions: Liberty, German Hallertau, German Tradition Storage: Fair (50-60% AA after 6 months at 20 C) 3.5-5.5% AA / 3.5-5.5% Beta"
Hallertau Blanc,Germany,Aroma,Pellet,10.5,5,15,Boil,"Floral and fruity with passion fruit, grapefruit, pineapple, grape and lemongrass overtones. One of several new German varieties with bold flavor profiles, perfect for American-style Ales. Used for: American style ale Substitutions: N/A Storage Unknown"
Hallertau Brewers Gold,Germany,Bittering,Pellet,6,3.5,30,Boil,"A high-alpha hop providing a pronounced bitterness with notes of lemon, currant, and spice. Aroma: Citrus - currant, lemon, spicy, woody, herbal, floral, resinous Alpha Acid: 5.0 - 7.0% Beta Acid: 2.5 - 4.5% Total Oil: 1.5 - 2.2 ml/100g"
Hallertau Magnum,Germany,Bittering,Pellet,14,6.5,17.5,Boil,"German Hallertauer hybrid, widely used in Germany. Extremely appropriate for early boil additions. Used for: German ales and lagers, bitters, IPAs, pilsners, pale ales, stouts. Aroma: somewhat unnoticeable aroma; stable spicy flavor Substitutes: Hallertau Taurus, Columbus, Nugget Storage: Excellent (80%-85% AA after 6 months at 20 C) 12-14% AA / 4.5-5.5% Beta"
