timestamp,gravity,temperature
2026-04-25T10:22:34.970809+01:00,1.0071,4.0
2026-04-25T10:23:00.698216+01:00,1.0071,4.0
2026-04-25T10:32:51.778182+01:00,1.0069,3.81
2026-04-25T10:47:58.091374+01:00,1.0072,4.0
2026-04-25T11:03:03.582718+01:00,1.0074,4.13
2026-04-25T11:18:09.525805+01:00,1.0073,3.81
2026-04-25T11:48:28.951709+01:00,1.0075,4.13
2026-04-25T12:18:40.401499+01:00,1.0071,4.06
2026-04-25T12:33:49.452776+01:00,1.0072,4.13
2026-04-25T12:48:53.994919+01:00,1.007,3.88
2026-04-25T13:04:05.332894+01:00,1.0073,4.19
2026-04-25T13:34:18.072547+01:00,1.0073,4.0
2026-04-25T13:49:24.162610+01:00,1.0075,4.31
2026-04-25T14:04:28.787918+01:00,1.0074,4.06
2026-04-25T14:19:37.280545+01:00,1.0073,3.63
2026-04-25T14:34:42.291492+01:00,1.0075,3.13
2026-04-25T14:49:47.601173+01:00,1.0073,3.13
2026-04-25T15:04:52.118186+01:00,1.0073,2.88
2026-04-25T15:20:00.808988+01:00,1.0068,2.69
